title,release_date,popularity,vote_average
Twilight,2008-11-20,105.373,6.3
Dog,2022-02-17,117.505,7.4
Broken Ties,2023-03-06,110.237,7.2
Choose or Die,2022-04-15,118.277,5.4
Crawlspace,2022-03-31,113.676,6.6
Cars 3,2017-06-15,128.849,6.8
Furious 7,2015-04-01,110.066,7.2
The Fate of the Furious,2017-04-12,100.01,6.9
The Bad Guys,2022-03-17,106.299,7.7
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,109.831,7.8
Maneater,2022-08-26,104.184,4.9
Advanced Prostitute,2021-01-10,114.313,0
As They Made Us,2022-04-08,104.164,5.5
The King's Man,2021-12-22,102.08,6.8
Whisper,2022-01-23,109.27,6.5
Enola Holmes 2,2022-11-04,114.283,7.6
Toy Story,1995-10-30,108.853,8
Pirates of the Caribbean: At World's End,2007-05-19,122.451,7.2
Boyka: Undisputed IV,2016-08-01,102.45,7.1
Scary Movie,2000-07-07,97.393,6.3
Inception,2010-07-15,96.582,8.4
Wrath of Man,2021-04-22,106.035,7.7
Inside Out,2015-06-09,97.152,7.9
Lobo Feroz,2023-01-27,99.234,6.5
Pretty Young Sister 4,2021-01-15,63.358,0
Terrifier,2016-03-15,94.064,6.6
The Guardians of the Galaxy Holiday Special,2022-11-25,98.848,7.3
The Jack in the Box: Awakening,2022-02-24,112.336,6.4
The Nightingale of Bursa,2023-01-13,108.555,6.4
The Pale Blue Eye,2022-12-22,107.04,7
Free Guy,2021-08-11,95.223,7.6
Avatar: Creating the World of Pandora,2010-02-07,103.863,7
The Wolf of Wall Street,2013-12-25,107.616,8
Groot's First Steps,2022-08-10,107.155,7.1
Deadpool 2,2018-05-10,101.332,7.5
The Lion King,2019-07-12,102.763,7.1
Seoul Vibe,2022-08-26,113.121,6.7
Last Seen Alive,2022-05-19,105.291,6.6
Lou,2022-09-23,99.62,6.7
Last Man Down,2022-11-03,96.489,5.9
Fullmetal Alchemist: The Revenge of Scar,2022-05-20,108.497,6.8
The Gray Man,2022-07-13,98.102,7
Raya and the Last Dragon,2021-03-03,94.149,7.9
Three Steps Above Heaven,2010-12-03,97.074,7.8
The Tangalanga Method,2023-01-19,108.843,6.4
The Emperor's New Groove,2000-12-15,113.845,7.5
Fury,2014-10-15,91.337,7.5
The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,106.54,6.5
The Intouchables,2011-11-02,86.756,8.3
How to Train Your Dragon: The Hidden World,2019-01-03,95.297,7.8
Scream 4,2011-04-11,90.681,6.4
High Heat,2022-12-16,108.307,6
Naruto Shippuden the Movie,2007-08-04,103.337,7.2
The Hunger Games: Mockingjay - Part 1,2014-11-19,102.453,6.8
Frank and Penelope,2022-06-03,100.097,7.7
Diary of a Wimpy Kid: Rodrick Rules,2022-12-02,96.574,7.1
Captain America: Civil War,2016-04-27,98.161,7.4
Spirited Away,2001-07-20,96.833,8.5
To Kill the Beast,2022-04-28,95.935,6
Navalny,2022-04-08,97.83,7.2
The Croods: A New Age,2020-11-25,95.146,7.5
Monstrous,2022-05-13,91.421,6.1
Shrek the Third,2007-05-17,95.44,6.3
Drag Me to Hell,2009-03-15,140.63,6.4
Murder Mystery 2,2023-03-24,100.426,7.1
Eureka: Eureka Seven Hi-Evolution,2021-11-26,99.864,6.1
Ted 2,2015-06-25,98.421,6.3
Ancient Chinese Whorehouse,1994-09-15,73.315,5
Dune,2021-10-22,94.56,7.7
The Matrix,1999-03-30,79.889,8.2
Mira,2022-12-22,119.772,6.9
High & Low The Worst X,2022-09-09,86.323,7.4
The Autopsy of Jane Doe,2016-12-21,82.962,6.7
Finding Nemo,2003-05-30,95.802,7.8
Maleficent: Mistress of Evil,2019-10-16,95.363,7.3
November,2022-10-05,92.443,7.4
You Will Not Have My Hate,2022-11-02,106.736,5
Spider-Man: Homecoming,2017-07-05,99.022,7.4
Pirates of the Caribbean: Dead Man's Chest,2006-07-06,101.019,7.3
Chor Nikal Ke Bhaga,2023-03-24,99.949,7.5
The Conjuring,2013-07-18,100.488,7.5
Your Name.,2016-08-26,97.85,8.5
The Godfather,1972-03-14,100.525,8.7
Margaux,2022-09-09,96.965,6.8
Frozen II,2019-11-20,101.869,7.3
Pinocchio,2022-09-07,105.189,6.5
Emergency Declaration,2022-08-03,106.919,7.8
My Hero Academia: Heroes Rising,2019-12-20,94.839,8.2
Pacific Rim,2013-07-11,102.322,6.9
The Witch: Part 2. The Other One,2022-06-15,89.883,7.1
Code Name Banshee,2022-07-01,96.62,5.9
Cinderella,1950-02-22,84.291,7
Ratatouille,2007-06-28,102.363,7.8
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,96.032,8.4
Emancipation,2022-12-02,91.64,8
Spider-Man: Into the Spider-Verse,2018-12-14,80.386,8.4
Maleficent,2014-05-28,81.424,7.1
One Way,2022-09-02,89.139,6.4
Groot Takes a Bath,2022-08-10,109.022,7.1
El asistente,2023-03-01,134.742,10
Mulan,1998-06-18,90.682,7.9
Johnny & Clyde,2023-05-05,87.929,0
Halloween Ends,2022-10-12,84.987,6.3
Watcher,2022-06-03,92.842,6.6
The Last Warrior: Root of Evil,2021-01-01,92.345,6.9
Your Place or Mine,2023-02-10,103.79,6.4
World War Z,2013-06-20,119.685,6.8
Have a Nice Day!,2023-03-10,85.475,7
The School Teacher,1975-07-11,109.975,5.5
Prometheus,2012-05-30,90.239,6.5
Superfast!,2015-03-05,89.681,5
Warriors of Future,2022-08-05,102.94,7.3
Thor,2011-04-21,105.204,6.8
The Sea Beast,2022-06-24,90.256,7.5
Dragon Ball Z: Broly – The Legendary Super Saiyan,1993-03-06,103.995,7.3
Howl's Moving Castle,2004-09-09,75.992,8.4
Toy Story 2,1999-10-30,90.033,7.6
Black Widow,2021-07-07,96.203,7.4
The Twilight Saga: Breaking Dawn - Part 1,2011-11-16,91.673,6.2
The Conjuring 2,2016-06-08,87.924,7.3
The Hangover,2009-06-02,95.511,7.3
Constantine,2005-02-08,91.854,7
Roald Dahl's The Witches,2020-10-25,83.86,6.4
The Rape,1982-05-15,98.724,3.5
Slumberland,2022-11-18,91.86,7.5
Venom,2018-09-28,77.051,6.8
The Dark Knight,2008-07-14,86.927,8.5
Stolen by Their Father,2022-03-05,77.229,7.9
Paws of Fury: The Legend of Hank,2022-07-14,78.404,6.8
Blade Runner 2049,2017-10-04,90.382,7.5
Iron Man,2008-04-30,84.983,7.6
Scrooge: A Christmas Carol,2022-11-18,78.663,6.8
Grown Ups 2,2013-07-11,102.253,6.1
My Hero Academia: Two Heroes,2018-08-03,84.475,7.9
Red Notice,2021-11-04,89.997,6.8
Ant-Man and the Wasp,2018-07-04,79.285,7
The Mummy,1999-04-16,74.652,6.9
"Miraculous World: New York, United HeroeZ",2020-12-18,93.15,8.2
Scary Movie 2,2001-07-04,81.815,5.8
Scary Movie 5,2013-04-11,83.567,4.8
Togo,2022-10-05,83.754,6.6
Scream 2,1997-12-12,80.242,6.5
Grimcutty,2022-10-10,88.144,5.4
Doctor Strange,2016-10-25,99.929,7.4
Step-Brother 2,2018-11-06,79.479,5.6
In the Forest,2022-01-28,88.452,6
Thor: Ragnarok,2017-10-24,108.035,7.6
The Banshees of Inisherin,2022-10-20,74.287,7.5
"Goodbye, Don Glees!",2022-02-18,80.139,6
Dragon Ball Z: Wrath of the Dragon,1995-07-15,81.009,7.2
Transformers: Age of Extinction,2014-06-25,88.954,5.9
Blowback,2022-06-17,95.007,6
Scream 3,2000-02-03,75.129,6
The Key Game,2022-04-13,95.436,5.9
Dungeons & Dragons,2000-12-08,101.399,4.3
Fifty Shades Darker,2017-02-08,84.395,6.5
The Flash,2023-06-14,85.359,0
Nope,2022-07-20,86.922,6.9
San Andreas,2015-05-27,78.885,6.2
I Believe,2019-06-06,87.802,7
Frozen,2013-11-20,94.184,7.2
